"ID","yr","ewe_age","age_class","prim","birthdate","median_bdate","birthdate_tp1","greenup_date","mass_fall_tm1","mass_fall","mass_spring","mass_gain","greenup_mismatch","mismatch_tp1","wean_mass","code_sr","repro_tp1","wean_tp1","frs","pred","first_pregnant"
292,2006,2,"adult",NA,NA,148.5,NA,134,NA,60.97,43.136,"17.834237684458",NA,NA,NA,"0",NA,NA,"human","0","0"
292,2007,3,"prim","TRUE",143,145,"168",152,60.97,66.394,54.087,"12.306376016272",-9,"8",NA,"9","yes","yes","weaned","0","0"
292,2008,4,"adult","FALSE",168,148,NA,160,66.394,72.925,59.497,"13.4279294595867",8,NA,14.529,"3","yes","no","neoDeath","0","1"
292,2009,5,"adult","FALSE",NA,140.5,NA,146,72.925,78.9,60.617,"18.2832377747749",NA,NA,NA,"1","yes","no","notWeaned","0","0"
292,2010,6,"adult","FALSE",139,144,"140",150,78.9,79.032,59.402,"19.6295360356835",-11,"-11",NA,"2","yes","yes","weaned","0","0"
292,2011,7,"adult","FALSE",140,148,"154",151,79.032,80.257,60.123,"20.1339250675129",-11,"8",NA,"3","yes","no","notWeaned","0","0"
292,2012,8,"adult","FALSE",154,150,"138",146,80.257,76.285,63.869,"12.4163985647417",8,"-8",10.474,"2","yes","no","notWeaned","0","0"
292,2013,9,"adult","FALSE",138,156,"164",146,76.285,75.181,62.761,"12.4202931951706",-8,"12",NA,"2","yes","yes","weaned","1","0"
292,2014,10,"adult","FALSE",164,155.5,"142",152,75.181,78.705,66.118,"12.5872659641978",12,"5",26.799,"3","yes","yes","weaned","0","0"
292,2015,11,"adult","FALSE",142,147.5,"199",137,78.705,81.875,64.923,"16.952081237928",5,"76",26.601,"5","yes","yes","weaned","0","0"
292,2016,12,"senescent","FALSE",199,149,NA,123,81.875,83.715,75.055,"8.6593341622318",76,NA,16.687,"5",NA,NA,NA,"0","1"
293,2006,2,"adult",NA,NA,148.5,NA,134,NA,60.367,42.55,"17.8168053156604",NA,NA,NA,"0","yes","yes","weaned","0","0"
293,2007,3,"prim","TRUE",143,145,"144",152,60.367,64.059,51.938,"12.1204351247221",-9,"-16",25.467,"5","yes","yes","weaned","0","0"
