"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z"
32,2006,1.351,"adult","FALSE",9.16,"yes","weaned","yes",NA,NA,"0","1",NA,-0.619,-1.097,0.014,0.019,0.819,NA,"1",NA
32,2007,1.637,"senescent","FALSE",11.855,"yes","neoDeath","no",NA,NA,"0","0",-0.746,-1.127,0.507,0.037,-0.215,0.282,-0.896,"5",-1.57
32,2008,1.923,"senescent","FALSE",27.23,"yes","neoDeath","no",NA,NA,"0","0",NA,-0.692,1.219,-0.193,-0.205,-1.552,NA,"1",NA
32,2009,2.209,"senescent","FALSE",19.187,"yes","weaned","yes",NA,NA,"0","1",NA,-1.781,-0.028,-0.183,0.242,-0.179,NA,"1",NA
32,2010,2.495,"senescent","FALSE",19.129,NA,NA,NA,NA,NA,"0","0",-0.463,-1.272,0.328,0.256,0.179,-0.23,-0.57,"3",-0.014
33,2000,-0.363,"adult","FALSE",18.794,"yes","notWeaned","no",150,-8,"1","0",-0.251,1.341,2.11,0.383,0.904,0.473,-1.493,"5",0.593
33,2001,-0.078,"adult","FALSE",12.435,"yes","weaned","yes",163,5,"1","0",-0.321,1.196,1.041,0.907,0.531,0.894,-0.896,"2",NA
33,2002,0.208,"adult","FALSE",12.714,"yes","notWeaned","no",170,18,"1","1",0.598,0.034,1.041,0.54,0.688,1.004,-0.189,"3",-0.022
33,2003,0.494,"adult","FALSE",12.35,"yes","notWeaned","no",154,8,"0","1",1.094,1.341,0.507,0.694,0.909,1.25,0.517,"2",NA
33,2004,0.78,"adult","FALSE",17.306,"yes","weaned","yes",148,6,"0","0",-0.038,1.051,-0.028,0.912,1.606,1.293,-0.026,"2",0.684
33,2005,1.066,"adult","FALSE",18.649,"yes","weaned","yes",148,14,"0","0",-0.463,-0.474,-0.384,1.597,1.719,1.236,-0.135,"5",0.278
