"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z","rtp1"
16,2008,1.923,"senescent","FALSE",27.23,"yes","neoDeath","no",NA,NA,"0","0",NA,-0.692,1.219,-0.193,-0.205,-1.552,NA,"1",NA,"1"
17,2000,-0.363,"adult","FALSE",18.794,"yes","notWeaned","no",150,-8,"1","0",-0.251,1.341,2.11,0.383,0.904,0.473,-1.493,"5",0.593,"1"
17,2001,-0.078,"adult","FALSE",12.435,"yes","weaned","yes",163,5,"1","0",-0.321,1.196,1.041,0.907,0.531,0.894,-0.896,"2",NA,"1"
17,2002,0.208,"adult","FALSE",12.714,"yes","notWeaned","no",170,18,"1","1",0.598,0.034,1.041,0.54,0.688,1.004,-0.189,"3",-0.022,"1"
17,2003,0.494,"adult","FALSE",12.35,"yes","notWeaned","no",154,8,"0","1",1.094,1.341,0.507,0.694,0.909,1.25,0.517,"2",NA,"1"
17,2004,0.78,"adult","FALSE",17.306,"yes","weaned","yes",148,6,"0","0",-0.038,1.051,-0.028,0.912,1.606,1.293,-0.026,"2",0.684,"1"
17,2005,1.066,"adult","FALSE",18.649,"yes","weaned","yes",148,14,"0","0",-0.463,-0.474,-0.384,1.597,1.719,1.236,-0.135,"5",0.278,"1"
17,2006,1.351,"adult","FALSE",14.911,"yes","weaned","yes",147,-5,"0","0",-0.463,-0.619,-1.097,1.709,1.127,1.143,0.3,"5",0.995,"1"
17,2007,1.637,"senescent","FALSE",12.057,"yes","weaned","yes",155,-5,"0","0",-0.533,-1.127,0.507,1.127,0.383,0.805,-0.733,"5",-0.161,"1"
17,2008,1.923,"senescent","FALSE",27.056,"yes","weaned","yes",163,17,"0","0",0.032,-0.692,1.219,0.395,1.799,0.301,-0.733,"5",-0.191,"1"
17,2009,2.209,"senescent","FALSE",15.106,"yes","weaned","yes",144,-6,"0","1",0.598,-1.781,-0.028,1.787,1.283,1.262,0.463,"5",0.873,"1"
17,2010,2.495,"senescent","FALSE",25.637,"yes","neoDeath","no",NA,NA,"0","0",-0.746,-1.272,0.328,1.28,1.517,0.213,-0.787,"5",-0.326,"1"
18,2000,-0.363,"adult","FALSE",8.445,"yes","notWeaned","no",161,3,"1","1",0.598,1.341,2.11,-0.324,-0.328,0.588,-0.841,"5",0.156,"1"
18,2001,-0.078,"adult","FALSE",10.107,"yes","neoDeath","no",NA,NA,"1","1",0.457,1.196,1.041,-0.304,-0.053,0.639,-0.298,"2",0.826,"1"
18,2002,0.208,"adult","FALSE",22.115,"yes","weaned","yes",NA,NA,"1","1",NA,0.034,1.041,-0.034,0.283,-0.493,NA,"1",NA,"1"
18,2003,0.494,"adult","FALSE",10.919,"yes","weaned","yes",160,14,"0","1",0.528,1.341,0.507,0.296,0.286,0.852,0.083,"3",0.224,"1"
18,2004,0.78,"adult","FALSE",11.086,"yes","neoDeath","no",NA,NA,"0","1",0.386,1.051,-0.028,0.3,0.695,1.206,0.3,"5",NA,"1"
18,2005,1.066,"adult","FALSE",16.298,"yes","weaned","yes",NA,NA,"0","0",NA,-0.474,-0.384,0.702,1.14,0.988,NA,"1",NA,"1"
18,2006,1.351,"adult","FALSE",11.832,"yes","weaned","yes",152,0,"0","0",-0.463,-0.619,-1.097,1.139,0.732,1.151,0.3,"5",1.605,"1"
18,2007,1.637,"senescent","FALSE",9.776,"yes","weaned","yes",148,-12,"0","1",-0.18,-1.127,0.507,0.738,0.312,1.013,-0.461,"3",-1.326,"1"
19,2001,-0.363,"prim","TRUE",8.997,"yes","neoDeath","no",NA,NA,"1","1",0.457,1.196,1.041,0.046,0.069,0.884,-0.298,"3",0.541,"1"
20,2001,-0.649,"prim","TRUE",12.24,"yes","neoDeath","no",NA,NA,"1","0",-0.463,1.196,1.041,-1.031,-0.844,-0.34,-1.004,"5",-0.748,"1"
20,2002,-0.363,"adult","FALSE",20.86,"yes","weaned","yes",NA,NA,"1","1",NA,0.034,1.041,-0.812,-0.756,-1.292,NA,"1",NA,"1"
20,2003,-0.078,"adult","FALSE",15.618,"yes","weaned","yes",161,15,"0","0",0.315,1.341,0.507,-0.725,-0.591,-0.513,-0.08,"3",-0.978,"1"
20,2004,0.208,"adult","FALSE",12.928,"yes","weaned","yes",157,15,"0","1",0.457,1.051,-0.028,-0.562,-0.313,0.064,0.354,"3",-0.149,"1"
20,2005,0.494,"adult","FALSE",15.635,"yes","weaned","yes",184,50,"0","0",0.174,-0.474,-0.384,-0.289,-0.081,-0.049,0.354,"3",-0.387,"1"
20,2006,0.78,"adult","FALSE",13.147,"yes","notWeaned","no",149,-3,"0","1",2.084,-0.619,-1.097,-0.061,0.235,0.539,2.257,"5",-1.391,"1"
21,2002,-0.649,"prim","TRUE",24.458,"yes","weaned","yes",NA,NA,"1","1",NA,0.034,1.041,-0.944,-0.52,-1.508,NA,"1",NA,"1"
