"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z","rtp1"
30,2007,-0.649,"prim","TRUE",12.283,"yes","weaned","yes",151,-9,"0","0",-0.746,-1.127,0.507,0.304,0.28,0.683,-0.896,"5",NA,"1"
31,2007,-0.935,"prim","TRUE",12.306,"yes","weaned","yes",168,8,"0","0",-0.816,-1.127,0.507,-1.066,-0.392,0.066,-0.95,"9",NA,"1"
31,2008,-0.649,"adult","FALSE",13.428,"yes","neoDeath","no",NA,NA,"0","1",0.952,-0.692,1.219,-0.367,0.464,0.714,-0.026,"3",-2.75,"1"
31,2009,-0.363,"adult","FALSE",18.283,"yes","notWeaned","no",NA,NA,"0","0",NA,-1.781,-0.028,0.475,1.248,0.849,NA,"1",NA,"1"
31,2010,-0.078,"adult","FALSE",19.63,"yes","weaned","yes",140,-11,"0","0",-1.099,-1.272,0.328,1.245,1.265,0.703,-1.059,"2",NA,"1"
31,2011,0.208,"adult","FALSE",20.134,"yes","notWeaned","no",154,8,"0","0",-1.029,-0.692,0.418,1.262,1.426,0.789,-1.059,"3",NA,"1"
31,2012,0.494,"adult","FALSE",12.416,"yes","notWeaned","no",138,-8,"0","0",-0.038,-0.401,-0.028,1.42,0.905,1.239,-0.026,"2",-3.604,"1"
31,2013,0.78,"adult","FALSE",12.42,"yes","weaned","yes",164,12,"1","0",-1.17,0.47,-0.028,0.908,0.76,1.106,-0.896,"2",NA,"1"
31,2014,1.066,"adult","FALSE",12.587,"yes","weaned","yes",142,5,"0","0",0.669,0.397,0.507,0.766,1.222,1.508,0.191,"3",-0.168,"1"
32,2007,-0.935,"prim","TRUE",12.12,"yes","weaned","yes",144,-16,"0","0",-0.816,-1.127,0.507,-1.144,-0.698,-0.192,-0.95,"5",-0.448,"1"
32,2008,-0.649,"adult","FALSE",17.166,"yes","weaned","yes",139,-7,"0","0",-0.746,-0.692,1.219,-0.668,-0.077,-0.229,-1.33,"3",0.389,"1"
